Year,Race,Driver,Team,QualiTime,RaceTimeAvg,Compound,Sector1Avg,Sector2Avg,Sector3Avg,AirTemp,TrackTemp,Humidity,WindSpeed,TrackLengthKM
2022,Belgium,1,Red Bull Racing,103.665,112.38475,MEDIUM,32.071027777777786,49.83497222222222,30.478750000000005,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,55,Ferrari,104.297,113.030361,HARD,32.39411111111111,50.024277777777776,30.611972222222228,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,11,Red Bull Racing,104.462,112.844444,MEDIUM,32.200388888888895,50.05375,30.59030555555556,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,16,Ferrari,104.551,113.913444,MEDIUM,32.28422222222222,50.793305555555555,30.835916666666662,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,31,Alpine,105.18,114.182361,MEDIUM,32.234222222222215,51.14886111111112,30.799277777777775,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,14,Alpine,105.368,114.149027,MEDIUM,32.47238888888889,50.901694444444445,30.774944444444444,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,63,Mercedes,105.461,113.095916,MEDIUM,32.488499999999995,49.93283333333333,30.67458333333333,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,23,Williams,105.672,114.803861,MEDIUM,32.25894444444444,51.74772222222222,30.79719444444444,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,4,McLaren,105.603,114.861611,MEDIUM,32.13980555555557,51.95447222222222,30.76733333333334,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,3,McLaren,105.767,115.058277,MEDIUM,32.3246111111111,51.72480555555555,31.008861111111102,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,10,AlphaTauri,105.827,114.524194,MEDIUM,32.276444444444444,51.404194444444435,30.843555555555554,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,24,Alfa Romeo,106.085,114.911527,MEDIUM,31.996,52.092277777777774,30.823249999999998,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,18,Aston Martin,106.256,114.809444,MEDIUM,32.178138888888874,51.71388888888889,30.917416666666668,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,47,Haas F1 Team,106.342,115.092171,MEDIUM,32.596028571428576,51.272000000000006,31.22414285714286,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,5,Aston Martin,106.344,114.247666,MEDIUM,32.35377777777778,51.07466666666667,30.819222222222226,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,6,Williams,106.401,115.263485,HARD,32.37657142857143,51.76997142857144,31.11694285714286,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,20,Haas F1 Team,106.557,115.079971,MEDIUM,32.4692,51.402314285714276,31.20845714285714,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2022,Belgium,22,AlphaTauri,106.692,114.707583,MEDIUM,32.10125,51.86452777777779,30.741805555555555,21.78717948717949,36.08397435897436,40.51923076923077,1.5192307692307692,7.004
2023,Belgium,1,Red Bull Racing,106.168,111.645435,SOFT,32.56961538461538,48.859333333333325,30.216487179487174,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,16,Ferrari,106.988,112.433435,SOFT,32.46028205128205,49.47989743589743,30.493256410256407,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,11,Red Bull Racing,107.045,112.162564,SOFT,32.69248717948719,49.1751282051282,30.29494871794872,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,44,Mercedes,107.087,112.33627,SOFT,32.26067567567568,49.68424324324325,30.391351351351354,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,55,Ferrari,107.152,116.026578,MEDIUM,32.475157894736846,52.422736842105266,31.12868421052632,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,4,McLaren,107.669,113.093256,SOFT,32.77341025641026,49.6748205128205,30.64502564102564,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,63,Mercedes,107.805,113.209146,SOFT,32.47068292682928,50.100195121951224,30.63826829268293,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,14,Aston Martin,107.843,112.754333,MEDIUM,32.54061538461538,49.73117948717949,30.482538461538468,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,18,Aston Martin,108.841,113.472487,SOFT,32.61853658536585,50.28717073170731,30.56678048780488,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,22,AlphaTauri,113.148,113.367743,MEDIUM,32.219333333333324,50.708000000000006,30.440410256410253,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,10,Alpine,113.671,113.658536,SOFT,32.19665853658537,50.7470487804878,30.714829268292682,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,20,Haas F1 Team,114.16,113.807051,MEDIUM,32.368692307692314,50.850487179487175,30.58787179487179,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,77,Alfa Romeo,114.694,113.453076,MEDIUM,32.27323076923077,50.618128205128215,30.56171794871795,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,31,Alpine,116.372,113.181948,SOFT,32.10092307692308,50.46710256410256,30.613923076923072,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,23,Williams,120.314,113.28327,MEDIUM,31.814675675675677,51.1954054054054,30.27318918918919,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,24,Alfa Romeo,120.832,113.661871,SOFT,32.08356410256411,51.01574358974359,30.562564102564103,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,2,Williams,121.535,113.541594,MEDIUM,31.856864864864857,51.127405405405405,30.557324324324327,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,3,AlphaTauri,122.159,113.519538,MEDIUM,32.11899999999999,50.860769230769236,30.539769230769227,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2023,Belgium,27,Haas F1 Team,123.166,114.005461,SOFT,32.31720512820513,50.965051282051284,30.723205128205127,17.906474820143885,28.40359712230216,61.726618705035975,1.6086330935251798,7.004
2024,Belgium,1,Red Bull Racing,113.159,108.182666,MEDIUM,30.887358974358968,48.248769230769234,29.046538461538457,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,16,Ferrari,113.754,108.271512,HARD,31.24179487179488,47.87392307692308,29.15579487179487,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,11,Red Bull Racing,113.765,108.522864,HARD,31.270378378378382,48.03735135135135,29.215135135135135,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,44,Mercedes,113.835,108.01023,HARD,31.23874358974359,47.62592307692307,29.1455641025641,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,4,McLaren,113.981,108.293102,HARD,30.89415384615385,48.37353846153846,29.02541025641026,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,81,McLaren,114.027,108.036641,HARD,30.94069230769231,48.05310256410257,29.04284615384615,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,63,Mercedes,114.095,108.418756,HARD,31.036878048780487,48.278341463414634,29.103536585365852,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,55,Ferrari,114.112,108.488282,HARD,31.13969230769231,48.193461538461534,29.15512820512821,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,14,Aston Martin,114.258,109.555585,HARD,31.285829268292684,48.900073170731716,29.369682926829267,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,31,Alpine,114.46,109.165641,HARD,30.85702564102564,49.23569230769231,29.07292307692308,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,23,Williams,114.473,109.419384,HARD,31.038230769230776,49.19533333333332,29.185820512820516,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,10,Alpine,114.635,109.378461,HARD,31.199000000000005,48.93558974358975,29.243871794871794,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,3,RB,114.682,109.10882,HARD,31.12033333333333,48.74458974358974,29.243897435897427,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,77,Kick Sauber,114.764,109.621641,HARD,31.157102564102562,49.13866666666667,29.3258717948718,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,18,Aston Martin,115.716,109.771585,HARD,31.221902439024394,49.238926829268294,29.310756097560976,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,27,Haas F1 Team,116.308,109.916051,MEDIUM,31.122461538461533,49.39189743589744,29.401692307692308,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,20,Haas F1 Team,116.5,109.853292,HARD,31.194292682926832,49.28465853658536,29.374341463414634,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,22,RB,116.593,110.021658,HARD,31.271585365853657,49.37504878048781,29.375024390243897,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,2,Williams,117.23,109.790538,MEDIUM,31.18010256410256,49.29189743589743,29.318538461538463,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
2024,Belgium,24,Kick Sauber,117.775,112.2375,HARD,31.534,50.822500000000005,29.881,21.32846715328467,42.26715328467154,49.583941605839414,1.6832116788321168,7.004
